Nama,Gambar-src,Bahan,Cara Buat,Reaksi,Clean_Bahan
Balado kikil kepala sapi,https://img-global.cpcdn.com/recipes/dd4ed04af2e50021/680x482cq70/balado-kikil-kepala-sapi-foto-resep-utama.jpg,"300 gram kikil kepala sapi,10 cabai merah,5 siung bawang merah,2 siung bawang putih,1 ruas kunyit,1/2 sachet kaldu sapi,1/4 sdt gula, bila suka manis,250 mili air putih,Secukupnya minyak tuk menumis bumbu","Haluskan bumbu bumbu,Panaskan minyak masukkan bumbu 

Tumis sampai harum,Masukkan air putih

Masukkan pula kikil kepala sapi, gula, kaldu,Masukkan potongan buncis, aduk rata

Masak sampai matang dan meresap. Dan siap di sajikan tuk keluarga tercinta","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 7""},{""Reaksi"":""👏\n 2""}]","['kikil', 'kepala', 'sapi', 'cabai', 'merah', 'bawang', 'merah', 'bawang', 'putih', 'kunyit', 'sachet', 'kaldu', 'sapi', 'gula', 'manis', 'mil', 'air', 'putihsecukupnya', 'minyak', 'tuk', 'tum']"
Kikil Kecap Lombok Ijo,https://img-global.cpcdn.com/recipes/1e5a429d70938a19/680x482cq70/kikil-kecap-lombok-ijo-foto-resep-utama.jpg,"300 gram kikil sapi yg sudah matang,Secukupnya cabe ijo,1 buah tomat,Bumbu,5 bawang merah,4 bawang putih,2 lbr daun salam,1 ruas lengkuas, geprek,1/2 sdt garam halus,1/2 sdt kaldu ayam/ sapi bubuk,1/2 sdt gula pasir,3 sdm kecap manis","Siapkan bahan.,Cuci bersih dan potong2 kikil, sisihkan. Siapkan bahan bumbu.,Siapkan garam, kaldu bubuk, gulpas dan kecap manis.,Iris2 bawang merah, bawang putih dan cabe ijo. Panaskan 2 sdm minyak di api sedang. Tumis irisan bawang, cabe ijo, daun salam, lengkuas, tomat. Osreng2 hingga tanek.,Tambahkan sedikit air. Masukkan garam, gula pasir, kaldu bubuk. Tunggu hingga setengah mendidih baru masukkan kikil. Tambahkan kecap.,Masak hingga air menyusut. Cek rasa. Kikil kecap siap dihidangkan.","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 6""},{""Reaksi"":""👏\n 4""}]","['kikil', 'sapi', 'matangsecukupnya', 'cabe', 'ijo', 'tomatbumbu', 'bawang', 'merah', 'bawang', 'putih', 'salam', 'lengkuas', 'garam', 'kaldu', 'ayam', 'sapi', 'bubuk', 'gula', 'pasir', 'kecap', 'manis']"
Oseng Kikil Kecap,https://img-global.cpcdn.com/recipes/839b317ab3cffa71/680x482cq70/oseng-kikil-kecap-foto-resep-utama.jpg,"250 gram kikil sapi, iris tipis,3 siung bawang merah,3 siung bawang putih,lengkuas,jahe,salam,daun jeruk,serai,kecap manis,garam,minyak goreng,air","Tumis bawang merah, bawang putih, salam, jahe, lengkuas, daun jeruk, dan sereh,Masukkan kikil, tambahkan air, kecap dan garam masak hingga air surut dan kikil empuk,Angkat dan sajikan","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 3""},{""Reaksi"":""👏\n 1""}]","['kikil', 'sapi', 'tipis', 'bawang', 'merah', 'bawang', 'putihlengkuasjahesalamdaun', 'jerukseraikecap', 'manisgaramminyak', 'gorengair']"
Kikil Cabai ijo,https://img-global.cpcdn.com/recipes/33072f80ae8bb77f/680x482cq70/kikil-cabai-ijo-foto-resep-utama.jpg,"500 gram kikil yg sdh direbus,2 genggam Cabai ijo,1 bonggol bawang merah india,8 siung bawang putih,1/2 bulat bawang bombay,1 sm saos tiram dan kecap manis,3 lambar daun salam,1 ruas lengkuas, geprek,1 btg sereh, geprek,Secukupnya garam,gula,kaldu","Siapkan semua bahan,potong2 bumbu,Tumis bwg2an, daun salam,sereh dan lengkuas sampai harum kemudian masukan Cabai ijo,Tambahkan sedikit air, stlh mendidih masukan kecap,saos tiram, garam,gula dan kaldu bubuk kemudian masukan kikil, aduk rata dan masak sampai meresap dan matang, bikin nambah2 makannya😍","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 4""},{""Reaksi"":""👏\n 2""}]","['kikil', 'sdh', 'rebus', 'genggam', 'cabai', 'ijo', 'bonggol', 'bawang', 'merah', 'india', 'bawang', 'putih', 'bulat', 'bawang', 'bombay', 'sm', 'saos', 'tiram', 'kecap', 'manis', 'lambar', 'salam', 'lengkuas', 'btg', 'sereh', 'gepreksecukupnya', 'garamgulakaldu']"
Telur dadar +mie+sayur,https://img-global.cpcdn.com/recipes/c016b57f0e1464ef/680x482cq70/telur-dadar-miesayur-foto-resep-utama.jpg,"250 gram kubis,2 buah wortel,2 batang daun bawang,3 buah sosis (sesuai selera),2 butir telur ayam,1 bungkus mie kering,1 sdt garam (sesuai selera juga bisa),2 sdt penyedap rasa (royco) (sesuai selera juga bisa),1/2 sdt MSG (bisa di skip),Minyak goreng,4 bks saos sambal sasa sachet (buat cocolan)","Potong- potong sayuran menjadi potongan yang berukuran kecil lalu cuci hingga sayuran bersih.,Rebus air hingga mendidih lalu masukkan mie kering masak mie hingga terasa empuk lalu tiriskan, dan potong² sosis menjadi potongan kecil².,Kocok telur, dan campurkan semua bahan + bumbu aduk Hingga merata.,Siapkan teflon atau cetakan telur,bisa juga pake wajan dan panaskan minyak. Cetak adonan lalu masak hingga berwarna agak kecoklatan.,Lalu telur dadar mie + sayur siap di hidangkan ❤. Bisa di tambah saos sambel juga yaps Bun☺, selamat mencoba ❤.","[{""Reaksi"":""😋\n 2""},{""Reaksi"":""❤️\n 4""},{""Reaksi"":""👏\n 2""}]","['kubis', 'wortel', 'bawang', 'sosis', 'butir', 'telur', 'ayam', 'mie', 'kering', 'garam', 'sedap', 'royco', 'msg', 'skipminyak', 'goreng', 'bks', 'saos', 'sambal', 'sasa', 'sachet', 'cocol']"
Kaldu Kulit Udang,https://img-global.cpcdn.com/recipes/dfdc5ebf848bb129/680x482cq70/kaldu-kulit-udang-foto-resep-utama.jpg,"50 gram kulit udang tanpa air (sudah tiris dan kering),1 sdt minyak","Siapkan kulit udang yang sudah dicuci dan ditiriskan. Siapkan wajan. Oles wajan dengan 1 sdt minyak lalu masukkan kulit udang. Masak dengan api kecil,Aduk2 terus (bisa ditinggal2 ya) sampai kulit udang mengering, jika ditekan akan pecah. Kemudian siap2 diblender,Blender sampai halus. Tara......asiknya bisa bikin kaldu udang dari kulit badan dan kulit kepala udang. Tempatkan pada wadah, dan simpan dalam wadah tertutup dalam kulkas. Siap digunakan untuk penyedap rasa","[{""Reaksi"":""😋\n 6""},{""Reaksi"":""❤️\n 25""},{""Reaksi"":""👏\n 8""}]","['kulit', 'udang', 'air', 'tiris', 'kering', 'minyak']"
Macaroni Tahu Panggang,https://img-global.cpcdn.com/recipes/e9645cc9491715aa/680x482cq70/macaroni-tahu-panggang-foto-resep-utama.jpg,"100 gram macaroni,200 ml air,1 potong tahu cina,1 butir telur,1/2 wortel, parut,1 sosis ayam,1/4 sdt lada bubuk,1 sdt bawang putih bubuk,1/2 sdt kaldu jamur,1 sdt garam,1 sdt italian herb","Rebus macaroni hingga empuk.

Haluskan tahu dan masukkan tahu, wortel dan telur lalu aduk2 orak-arik hingga tercampur rata,Masukkan lada bubuk, bawang putih bubuk, kaldu jamur dan garam dan test rasa.

Masukkan kedalam cup alumunium foil lalu panggang 20 menit dengan suhu 160*. Sebelumnya oven sudah dipanaskan 15 menit.,Angkat dan siap sajikan😋🙏","[{""Reaksi"":""😋\n 9""},{""Reaksi"":""❤️\n 25""},{""Reaksi"":""👏\n 11""}]","['macaroni', 'air', 'cina', 'butir', 'telur', 'wortel', 'parut', 'sosis', 'ayam', 'lada', 'bubuk', 'bawang', 'putih', 'bubuk', 'kaldu', 'jamur', 'garam', 'italian', 'herb']"
221. MIE Ayam Jamur,https://img-global.cpcdn.com/recipes/031bc77ebf813402/680x482cq70/221-mie-ayam-jamur-foto-resep-utama.jpg,"500 gram mie ayam yang tipis/mie wonton,Air untuk merebus,secukupnya Minyak wijen,Topping/isian :,Bawang goreng (optional),300 gram paha ayam, potong kotak2 kecil,4 jamur kancing segar, iris tipis,4 siung bawang putih, cincang halus,1 batang daun bawang, iris serong,2 cm jahe, potong korek api,Kaldu ayam, garam dan merica,1 sdm saus tiram,1 sdm kecap asin,2 sdm kecap manis,150-200 ml air,Bahan marinasi ayam :,1 sdm saus tiram,1 sdm shaoxing wine (optional),1 sdm kecap asin,Pelengkap :,Pangsit goreng","Marinasi ayam selama 15 menit, sambil menyiapkan bahan lain.,Tumis bawang putih, jahe dan daun bawang bagian putih sampai harum. Masukkan ayam, tumis sampai berubah warna.,Masukkan jamur dan semua saus dan bumbu, aduk sebentar kemudian tuang air, lalu biarkan sampai mendidih sekitar 10 menitan dengan api kecil-sedang sampai meresap. Matikan api.,Ambil sedikit air tumisan ayam dan 1/2 sdt minyak wijen taruh di mangkuk.,Rebus mie sebentar saja, supaya nggak terlalu benyek. 

Angkat dan saring.,Masukkan mie kedalam mangkuk, aduk rata dengan bumbu tumisan, beri topping.,Pelengkap : goreng kulit pangsit sampai kecoklatan.,Sajikan bersama Mie Ayam Jamur 😍","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 5""},{""Reaksi"":""👏\n 1""}]","['mie', 'ayam', 'tipismie', 'wontonair', 'merebussecukupnya', 'minyak', 'wijentoppingisian', 'bawang', 'goreng', 'paha', 'ayam', 'kotak', 'jamur', 'kancing', 'segar', 'tipis', 'bawang', 'putih', 'bawang', 'serong', 'cm', 'jahe', 'korek', 'apikaldu', 'ayam', 'garam', 'merica', 'saus', 'tiram', 'kecap', 'asin', 'kecap', 'manis', 'airbahan', 'marinasi', 'ayam', 'saus', 'tiram', 'shaoxing', 'wine', 'kecap', 'asinpelengkap', 'pangsit', 'goreng']"
Omelet Mie Lipat Isi Tahu Kornet,https://img-global.cpcdn.com/recipes/f3e20d252e6fa713/680x482cq70/omelet-mie-lipat-isi-tahu-kornet-foto-resep-utama.jpg,"200 gram mie telur, rebus setengah matang, tiriskan,2 butir telur,1/2 sdt garam,1/4 sdt merica bubuk,2-3 sdm minyak goreng,Bahan Isi:,150 gram kornet,100 gram tahu putih, haluskan,100 gram daging ayam yg sudah direbus, suwir-suwir,1 batang wortel ukuran kecil, cincang halus,1 batang daun bawang, rajang halus,1/2 bagian bawang bombay, cincang kasar,2 siung bawang putih, haluskan,1 sdt garam,1 sdm gula pasir,1/2 sdt merica bubuk","Pertama kita buat isiannya terlebih dahulu. Siapkan wadah tahan panas, campurkan kornet, tahu, ayam suwir, wortel, daun bawang, dan bawang bombay. Masukkan juga bumbunya, yaitu bawang putih, garam, gula pasir, dan merica bubuk. Aduk hingga rata.,Siapkan kukusan yang sudah dipanaskan, kukus bahan isi kurang lebih selama 10 menit/hingga matang. Sisihkan.,Untuk membuat omelet, campurkan mie, telur, garam, dan merica bubuk. Aduk hingga semua bahan tercampur rata.,Selanjutnya panaskan minyak di wajan, masukkan setengah bagian campuran omelet, ratakan, tunggu hingga bagian bawah matang, balikkan omelet. Taruh setengah bagian bahan isi di atasnya, lalu lipat menjadi setengah lingkaran. Masak hingga seluruh bagian omelet matang. Bolak balik bila perlu.,Lanjutkan memasak untuk sisa omelet dan isiannya ya. Saya masaknya 2 kali karena wajan yang saya pakai nggak cukup untuk satu kali masak. Kuatirnya nanti ketebelan dan nggak matang merata. Kalau wajan teman-teman cukup besar, bisa langsung sekali masak.,Setelah omelet matang, potong-potong omelet dan letakkan di piring saji. Bisa ditambahkan saos sambal sebagai pelengkapnya ya. Siap dinikmati ^_^","[{""Reaksi"":""😋\n 8""},{""Reaksi"":""❤️\n 14""},{""Reaksi"":""👏\n 8""}]","['mie', 'telur', 'matang', 'tiris', 'butir', 'telur', 'garam', 'merica', 'bubuk', 'minyak', 'gorengbahan', 'isi', 'kornet', 'putih', 'halus', 'daging', 'ayam', 'rebus', 'suwirsuwir', 'wortel', 'bawang', 'rajang', 'bawang', 'bombay', 'bawang', 'putih', 'halus', 'garam', 'gula', 'pasir', 'merica', 'bubuk']"
Chicken wrap (oatmeal),https://img-global.cpcdn.com/recipes/f33ca534939e15e7/680x482cq70/chicken-wrap-oatmeal-foto-resep-utama.jpg,"30 gram oatmeal (blender sehingga jadi tepung),90 ml air,sejumput garam,sedikit margarin,isian : bebas, aku ayam pokpok, bisa nugget dll, mayo, saos, selada","Campur oatmeal, air dan garam, aduk hingga rata,lalu dadar diatas teflon yang sudah di beri margarin, gunakan api kecil yaa, masak hingga kulit kering dan bisa di angkat.,Isi kulit dengan nugget/ayam pokpok, beri mayo, saos dan selada","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 3""},{""Reaksi"":""👏\n 1""}]","['oatmeal', 'blender', 'tepung', 'airsejumput', 'garamsedikit', 'margarinisian', 'bebas', 'ayam', 'pokpok', 'nugget', 'mayo', 'saos', 'selada']"
Tahu Telur Asin,https://img-global.cpcdn.com/recipes/07f07f736a3fa12f/680x482cq70/tahu-telur-asin-foto-resep-utama.jpg,"500 gram tahu putih, potong kotak,2 butir telur asin, pisahkan kuning dari putihnya,100 gram tepung bumbu siap pakai,Minyak utk menggoreng,3 siung bawang putih, cincang halus,1 butir telur, kocok lepas,100 ml air,1 sdm tepung bumbu siap pakai,1/4 sdt garam,1/2 sdt gula pasir,1/8 sdt merica","Baluri tahu dg tepung bumbu, goreng sampai kering, angkat dan sisihkan.,Lumatkan kuning telur asin. Campur dg air dan kocokan telur, aduk rata. Campurkan tepung bumbu dan air, aduk rata, lalu masukkan dalam campuran telur asin.,Tumis bawang sampai wangi, masukkan campuran telur asin, garam, gula dan merica.,Aduk rata sampai mengental,Masukkan tahu goreng, aduk sampai terbalut rata.,Tahu telur asin siap disajikan. Bisa diberi cabe iris dan daun bawang iris untuk garnish.","[{""Reaksi"":""😋\n 6""},{""Reaksi"":""❤️\n 13""},{""Reaksi"":""👏\n 5""}]","['putih', 'kotak', 'butir', 'telur', 'asin', 'pisah', 'kuning', 'putih', 'tepung', 'pakaiminyak', 'goreng', 'bawang', 'putih', 'butir', 'telur', 'air', 'tepung', 'garam', 'gula', 'pasir', 'merica']"
Tauge Goreng Khas Bogor,https://img-global.cpcdn.com/recipes/c668940dec816df1/680x482cq70/tauge-goreng-khas-bogor-foto-resep-utama.jpg,"500 gram tauge,240 gram mie telur,150 gr Kucai,300 gr oncom,125 gr tauco,1 lembar daun salam,2 batang serai,4 batang daun bawang,4 SM kecap manis,15 gr gula merah,secukupnya Garam dan bumbu kaldu,800 gr air matang,secukupnya Minyak,Pelengkap:,secukupnya Lontong,20 biji tahu goreng,secukupnya Kerupuk putih,Bawang goreng untuk taburan,Haluskan:,1/4 st merica bulat,10 gr udang ebi,6 siung bawang putih,8 siung bawang merah,2 cabe merah besar,5 biji cabemerah,8 biji rawit,2 ruas Kencur,1 ruas Jahe,4 gr Terasi,3 bulat Kemiri sangrai,2 buah Tomat","Siapkan oncom, potek"" hingga agak hancur siaihkan,Siangi dan buang ekor tauge, cuci bersih tiriskan,Iris kucai, dan daun bawang 

Geprek serai satukan dengan daun salam dan gula merah,Siapkan ebi dan tauco

Blend semua bumbu halus,Masak air hingga mendidih lalu siramkan ke atas tauge aduk"" hingga layu tiriskan,Rebus sebentar kucai angkat tiriskan,Siapkan mie telur rebus sebentar hingga mengembang lalu tiriskan,Masak bumbu yang sudah dihaluskan hingga wangi dan matang masukkan serai daun salam dan gula merah,Tambahkan daun bawang bubuhi garam dan bumbu kaldu,Masukkan air sesudah mendidih, masukkan tauco dan kecap aduk rata,Masukkan oncom,biarkan agak mengental, koreksi rasa angkat,Cara penyajian:

Potong lontong dan tempatkan dalam piring saji, beri tahu dan tauge,Tambahkan mie, dan kucai lalu siram dengan bumbu kuah,Terakhir taburi bawang goreng, sajikan bersama dengan kerupuk","[{""Reaksi"":""😋\n 7""},{""Reaksi"":""❤️\n 8""},{""Reaksi"":""👏\n 5""}]","['tauge', 'mie', 'telur', 'kucai', 'oncom', 'tauco', 'salam', 'serai', 'bawang', 'sm', 'kecap', 'manis', 'gula', 'merahsecukupnya', 'garam', 'kaldu', 'air', 'matangsecukupnya', 'minyakpelengkapsecukupnya', 'lontong', 'biji', 'gorengsecukupnya', 'kerupuk', 'putihbawang', 'goreng', 'taburanhaluskan', 'st', 'merica', 'bulat', 'udang', 'ebi', 'bawang', 'putih', 'bawang', 'merah', 'cabe', 'merah', 'biji', 'cabemerah', 'biji', 'rawit', 'kencur', 'jahe', 'terasi', 'bulat', 'kemiri', 'sangrai', 'tomat']"
Tempe Saus Tomat Segar,https://img-global.cpcdn.com/recipes/ac8fde698062dc74/680x482cq70/tempe-saus-tomat-segar-foto-resep-utama.jpg,"300 gram tempe (potong kotak²),3 buah tomat merah ukuran besar,4 butir bawang merah, iris tipis,1/2 kelopak bunga lawang,1 butir kapulaga,1 sdt garam,1/2 sdt merica bubuk,1/2 sdt kaldu bubuk sapi (optional, resep asli tidak pakai),2 sdm gula pasir,5 sdm kecap manis,100 ml air,3 sdm minyak goreng utk menumis","Siapkan semua bahan,Goreng tempe hingga matang. Sisihkan,Parut tomat. Buang kulitnya. Sisihkan,Iris tipis bawang merah. Sisihkan,Panaskan minyak goreng. Tumis bawang merah hingga layu. Masukkan tomat, kapulaga, bunga lawang, garam, merica, kaldu bubuk, dan gula pasir. Aduk rata.,Masukkan tempe goreng dan kecap manis. Aduk rata. Tambahkan air. Didihkan. Cek rasa. Off kompor,Tempe Saus Tomat Segar siap dihidangkan 👍😍","[{""Reaksi"":""😋\n 7""},{""Reaksi"":""❤️\n 23""},{""Reaksi"":""👏\n 18""},{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 1""}]","['tempe', 'kotak', '', 'tomat', 'merah', 'butir', 'bawang', 'merah', 'tipis', 'kelopak', 'bunga', 'lawang', 'butir', 'kapulaga', 'garam', 'merica', 'bubuk', 'kaldu', 'bubuk', 'sapi', 'resep', 'asli', 'gula', 'pasir', 'kecap', 'manis', 'air', 'minyak', 'goreng', 'tum']"
Resep Tempe Balut Smoked Beef,https://img-global.cpcdn.com/recipes/d076c63dfd8b2e9d/680x482cq70/resep-tempe-balut-smoked-beef-foto-resep-utama.jpg,"200 gram tempe (potong sebesar ruas jari dan goreng hingga matang),8 lembar smoked beef,1 bungkus Kobe Tepung Tempe Kriuk (210 gr),130 ml air,400 gram minyak goreng,1 sachet BonCabe level 15, rasa Original","Cara membuat Tempe Balut Smoked Beef

Gulung tempe yang sudah digoreng dengan smoked beef. Lakukan sampai tempe habis dan sisihkan.,Campurkan 70 gr Kobe Tepung Tempe Kriuk dengan 130 ml air. Aduk rata hingga tidak ada yang menggumpal.,Ambil satu per satu tempe gulung smoked beef dan masukkan ke dalam adonan basah,Gulirkan ke dalam adonan sisa Kobe Tepung Tempe Kriuk.,Goreng dalam minyak panas hingga matang dan berwarna kuning keemasan.,Angkat dan Tempe Balut Smoked Beef siap disajikan dengan taburan BonCabe level 15.","[{""Reaksi"":""😋\n 3""},{""Reaksi"":""❤️\n 18""},{""Reaksi"":""👏\n 3""}]","['tempe', 'goreng', 'matang', 'smoked', 'beef', 'kobe', 'tepung', 'tempe', 'kriuk', 'air', 'minyak', 'goreng', 'sachet', 'boncabe', 'level', 'original']"
220. Nugget TEMPE AYAM,https://img-global.cpcdn.com/recipes/785d43c8fc2b6f46/680x482cq70/220-nugget-tempe-ayam-foto-resep-utama.jpg,"200 gram tempe,300 gram daging ayam giling,2 butir putih telur,3 sdm maizena,1/2 buah bawang bombay, cincang,2 siung bawang putih, cincang,1 sdm minyak goreng untuk menumis,secukupnya Kaldu bubuk, garam dan lada,1 sdm saus tiram,1 sdm minyak wijen,Bahan pelapis :,3 sdm tepung terigu yang dilarutkan dengan air,secukupnya Tepung roti","Potong-potong tempe, cincang bawang bombay dan bawang putih.,Panaskan minyak, tumis bawang bombay dan bawang putih hingga harum, masukkan tempe, masak sampai matang, Angkat dan haluskan (bisa pakai chopper, blender ataupun ulekan),Masukkan daging giling pada mangkuk tempe yang sudah dihaluskan, aduk rata. Masukkan putih telur, tepung maizena, saus tiram, minyak wijen, kaldu bubuk, garam dan lada, aduk rata.,Tuang dalam loyang yang sudah dialasi baking paper atau diolesi minyak, ukuran loyang disesuaikan.,Kukus selama +/- 30 menit. Biarkan agak dingin.,Potong-potong nugget, kemudian masukkan di larutan tepung terus dibalurkan pada tepung roti.,Goreng sesuai lebutuhan. 

Tips : Kalau mau disimpan tata dulu di loyang, beri jarak terus masukkan freezer, setelah beku baru masukkan kotak.,Siap dinikmati 👍","[{""Reaksi"":""😋\n 6""},{""Reaksi"":""❤️\n 5""},{""Reaksi"":""👏\n 5""}]","['tempe', 'daging', 'ayam', 'giling', 'butir', 'putih', 'telur', 'maizena', 'bawang', 'bombay', 'bawang', 'putih', 'minyak', 'goreng', 'menumissecukupnya', 'kaldu', 'bubuk', 'garam', 'lada', 'saus', 'tiram', 'minyak', 'wijenbahan', 'lap', 'tepung', 'terigu', 'larut', 'airsecukupnya', 'tepung', 'roti']"
Cilok isi Tetelan,https://img-global.cpcdn.com/recipes/287f2a27b00956f7/680x482cq70/cilok-isi-tetelan-foto-resep-utama.jpg,"100 gram terigu serbaguna,1 tangkai daun bawang (iris),2 siung bawang putih (uleg),Lada bubuk,Kaldu bubuk,Garam,200 ml air panas,100 gram tepung tapioka,tetelan,Air untuk merebus cilok,Bumbu Kacang,2 siung bawang putih,5 buah cabe merah keriting,Garam,Gula jawa,100 gram kacang tanah goreng","Masukkan terigu, bawang putih dan daun bawang dalam wadah bersih.

Lalu siram dengan air panas yang sudah dibumbui lada, garam, kaldu bubuk secara perlahan hingga adonan basah dan menyatu.,Tambahkan tepung tapioka, aduk dengan tangan hingga menyatu.,Pipihkan adonan cilok, isi dengan tetelan lalu bentuk bulat2.,Note:

- saat mencampur adonan, diaduknya secukupnya aja ya, jangan diulen terlalu lama agar cilok tidak keras.

-isiannya opsional ya. Bisa diganti dengan telur, keju atau ayam.,Didihkan air, lalu masukkan cilok.

Masak hingga cilok mengambang. Tiriskan.,Bumbu Kacang:

-goreng bawang putih dan cabe.

-blender bawang dan cabe goreng bersamaan dengan air, kacang tanah goreng, gula, garam. Tes rasa.

-masak hingga matang.,Sajikan cilok dengan sambal kacang. Jika suka bisa ditambah bawang goreng, kecap, dan saos.,Ini penampakan dalamnya ya. Kenyal, ada sensasi kres dari tetelannya dan juga ada rasa manis pedes gurih dari bumbu kacangnya. Yummy. 😋","[{""Reaksi"":""😋\n 2""},{""Reaksi"":""❤️\n 11""},{""Reaksi"":""👏\n 1""}]","['terigu', 'serbaguna', 'tangkai', 'bawang', 'bawang', 'putih', 'uleglada', 'bubukkaldu', 'bubukgaram', 'air', 'panas', 'tepung', 'tapiokatetelanair', 'rebus', 'cilokbumbu', 'kacang', 'bawang', 'putih', 'cabe', 'merah', 'keritinggaramgula', 'jawa', 'kacang', 'tanah', 'goreng']"
Soto bandung tetelan,https://img-global.cpcdn.com/recipes/99296def3a9174db/680x482cq70/soto-bandung-tetelan-foto-resep-utama.jpg,"250 gram tetelan sapi,2 buah lobak,100 gram kacang kedelai goreng,2 batang Daun bawang,4 batang seledri,Jeruk limau,Sambal goang,secukupnya Bawang goreng,Bumbu halus;,2 sdt merica,5 siung bawang putih,6 siung bawang merah,1 ruas jahe,Bumbu pelengkap;,2 lembar daun salam,2 batang serai geprek,2 ruas lengkuas geprek,1 ruas jahe geprek,2 cm biji pala geprek,Garam,gula,dan penyedap rasa,secukupnya Air,Minyak goreng untuk menumis","Kupas lobak dan potong-potong sesuai selera,taburi garam dan cuci bersih.,Didihkan air rebus lobak hingga matang,angkat rendam diair dingin kemudian tiriskan.,Cuci bersih daging tetelan,kemudian saya beri perasan jeruk nipis cuci kembali,rebus daging hingga empuk kemudian potong kecil-kecil.sisihkan.,Haluskan bumbu halus,dan siapkan bumbu pelengkap.,Didihkan air untuk soto,kemudian tumis bumbu halus dan bumbu pelengkap hingga harum,masukan daging tetelan yang sudah direbus sebelumnya..tambahkan sedikit air masak hingga mendidih masukan bumbu kedalam rebusan air.,Bila sudah mendidih masukan lobak yang sudah direbus tambahkan gula,garam dan penyedap rasa tes rasa.siapkan seledri dan daun bawang yang telah di iris serta kacang kedelai goreng dalam mangkuk tuang kuah soto,taburi bawang goreng.soto bandung siap saji.....sajikan dengan sambal dan potongan jeruk limau.","[{""Reaksi"":""😋\n 1""},{""Reaksi"":""❤️\n 4""},{""Reaksi"":""👏\n 1""}]","['tetelan', 'sapi', 'lobak', 'kacang', 'kedelai', 'goreng', 'bawang', 'seledrijeruk', 'limausambal', 'goangsecukupnya', 'bawang', 'gorengbumbu', 'merica', 'bawang', 'putih', 'bawang', 'merah', 'jahebumbu', 'lengkap', 'salam', 'serai', 'lengkuas', 'jahe', 'cm', 'biji', 'pala', 'geprekgaramguladan', 'sedap', 'rasasecukupnya', 'airminyak', 'goreng', 'tum']"
Chicken Stock (Air Kaldu Ayam),https://img-global.cpcdn.com/recipes/5b084b2dad3c2bc7/680x482cq70/chicken-stock-air-kaldu-ayam-foto-resep-utama.jpg,"300 gram tulang ayam,2 liter air,1 buah bawang bombay,1 batang celery,1 helai daun salam,1 batang bawang bombay,1 siung bawang putih","Potong bawang bombay menjadi 4 bagian, jangan buang kulit. celery potong menjadi 2 atau 3 agar masuk ke stock pot (panci kaldu).,Panaskan air hingga mendidih dan masukkan semua bahannya.,Setelah beberapa saat akan muncul buih-buih di permukaan air, angkat dan buang (foto hanya referensi dari masakan saya yang lain),Rebus hingga total 2 jam. Setelah itu matikan kompor dan biarkan dingin. Setelah dingin, ambil airnya saja dan saring dengan saringan kain (cheese cloth). Masukkan ke wadah dan biarkan di freezer. Chicken stock bisa bertahan hingga 1 bulan jika di freezer.,Catatan tambahan: selain bahan yang tersedia disini, kita juga bisa memasukkan bahan2 yang berbeda. sebagai contohnya adalah kentang atau wortel. Selamat berkreasi","[{""Reaksi"":""😋\n 5""},{""Reaksi"":""❤️\n 12""},{""Reaksi"":""👏\n 6""}]","['tulang', 'ayam', 'liter', 'air', 'bawang', 'bombay', 'celery', 'helai', 'salam', 'bawang', 'bombay', 'bawang', 'putih']"
